,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,blocks,bytes,cycles,instructions,pkg_pwr,ram_pwr,ref-cycles,power
0,141046,1842096,8109,79051,0,0,295777423,234678562,27.24,5.74,350080479,120.1
1,77629,3539554,3263,157779,3128,1601536,490594913,396685157,24.4,5.33,589109220,98.4
2,9613,2713281,113,119493,0,0,321155049,241109645,25.01,5.09,407016953,98.4
3,7814,3656476,103,199088,0,0,491581208,314867377,24.79,4.99,550485435,98.2
4,7115,2326189,79,110472,0,0,294607495,204085053,24.89,5.07,346053581,98.2
5,127151,3416587,3312,205517,0,0,508445697,385733998,25.79,5.27,545682947,98.3
6,10481,2941322,521,138866,216,110592,443506914,305165124,24.01,5.13,470626235,98.4
7,2190,2851920,220,151432,0,0,413155954,282461883,23.92,4.95,456503116,98.3
8,47548,1868766,395,105157,0,0,328373714,255427501,24.01,5.07,345509938,97.9
9,27982,3261836,320,175869,0,0,468088273,325164217,24.67,5.09,524560685,97.8
10,220211,3655599,14740,198631,280,143360,518024746,421106107,26.38,5.57,591332668,97.9
11,28568,2677073,2114,139008,2512,1286144,363503545,270781569,24.81,5.21,410318167,98.3
12,97245,5020313,5355,252669,0,0,650229825,471394603,27.21,5.31,727016054,98.9
13,28222,3013143,2535,151706,0,0,367248899,263251247,26.13,5.4,440672838,99.1
14,48575,4407240,7005,227343,0,0,520619472,353819266,32.13,5.75,564305880,109.6
15,164393,3143055,13653,176430,1344,688128,424163959,375807522,27.28,5.51,552419700,109.3
16,20977,3175392,375,199950,272,139264,482602972,327642570,25.14,5.22,513482952,101.6
17,4923,2579791,78,129510,0,0,391966602,264728420,23.87,5.01,431955517,101.0
18,1575,2191738,149,131481,0,0,341597858,221253818,24.36,4.92,343701585,100.4
19,8745,3145300,331,196773,0,0,489977203,322509897,24.07,5.0,529089743,100.1
20,95292,3698791,4299,235658,0,0,529167374,373415924,26.61,5.25,574566386,99.7
21,76089,4129246,1623,254340,328,167936,511210222,415604642,29.03,5.35,594452159,100.2
22,8566,2985439,257,154738,0,0,396716495,280096540,23.64,5.07,453160663,100.7
23,36538,1988791,201,87184,0,0,274814628,206135505,23.68,5.07,292350814,100.2
24,35577,3327763,5732,154628,0,0,382833123,275289788,32.68,5.99,429514267,95.0
25,105715,4437603,7937,266688,0,0,530127303,473218709,34.01,5.71,622234819,125.0
26,14035,3471589,882,149254,664,339968,388529716,287628038,25.75,5.29,461989074,108.8
27,30992,2457650,820,150685,0,0,320037656,246404709,33.13,5.99,369172630,99.9
28,97524,3885825,9292,265887,0,0,596784776,455295386,28.96,5.47,628227451,121.9
29,11799,2576623,221,160051,0,0,437510562,294095803,23.61,5.09,450465612,101.6
30,219350,4941044,10316,282409,46880,24002560,626015529,512713324,29.31,5.58,728623903,101.3
31,14230,2266455,1046,137781,19536,10002432,371026282,265909219,24.43,5.22,437936774,101.8
32,24555,2772801,1678,165679,0,0,388989181,284195571,37.33,6.36,392655511,102.0
33,131948,3073866,3583,148960,0,0,349937561,279871049,40.46,6.75,394294992,130.4
34,140928,2960000,10015,174580,0,0,402111354,308719021,40.57,6.88,425656601,130.6
35,368328,4787249,19897,198345,1512,774144,515806510,433529042,40.53,7.0,621879686,130.8
36,206300,3830198,9759,227798,24184,12382208,425044681,303409941,40.5,6.85,470334003,130.9
37,45089,2902867,1922,147177,0,0,355192200,262259509,40.43,6.57,375178133,131.0
38,76686,3134947,1379,180403,5,2560,410505479,299528863,40.37,6.55,419065250,130.9
39,51508,3967213,1403,204411,1,512,495967119,378603215,40.35,6.46,504753036,130.7
40,106388,3837537,19837,231501,112,57344,488260212,379135435,40.37,6.66,510945546,130.7
41,53119,3082617,1674,153447,496,253952,344623637,250092026,40.44,6.69,370104438,130.7
42,178590,4847147,1257,343548,0,0,681575011,912909436,40.39,6.82,731904443,130.7
43,225292,2519368,3246,114913,0,0,308353078,231665909,40.53,6.84,345744483,130.8
44,302436,3209093,5613,138909,0,0,404541560,300087036,40.58,6.9,434161584,130.9
45,329906,2678955,9335,149871,0,0,337991374,280306830,40.51,6.99,364753600,131.1
46,85097,4065983,12828,234462,272,139264,471077879,343096160,40.39,6.75,501623990,131.2
47,92018,2873519,12331,148830,0,0,356530372,267206193,41.79,7.14,375746724,131.3
48,208489,3085645,9922,156755,0,0,386902805,274885434,41.93,8.09,407301638,131.8
49,202266,3028267,12372,162149,0,0,394536917,280182578,41.23,7.58,407569045,132.2
50,308690,3466161,33384,228291,0,0,460774218,358006747,42.16,7.33,479007645,132.4
51,217858,3917809,15093,235702,216,110592,518632426,366205844,41.45,7.8,530360646,132.6
52,240345,3675188,5302,210502,0,0,445965224,322735117,42.65,7.51,474347704,132.9
53,222134,3225624,7280,177901,0,0,402503344,282757658,41.42,7.72,430532249,133.1
54,129664,2392251,7822,115237,0,0,301558529,211094953,42.67,7.53,308727555,133.3
55,267048,4549526,24348,272163,0,0,577946464,437839822,41.08,7.41,626373998,133.5
56,306046,2830896,2289,144129,216,110592,355567800,270152933,42.67,7.55,386127040,133.6
57,336854,3352500,8044,159547,0,0,447748928,314019908,41.8,7.37,444171744,133.7
58,310034,2747963,6603,133259,0,0,316385410,245713281,42.76,7.42,355145023,133.8
59,189555,2558289,10012,119116,0,0,312277018,237423240,42.29,7.5,348561168,133.9
60,366465,3236135,14108,168813,0,0,390587713,301082583,42.18,7.59,464545390,134.1
61,186779,2679120,13222,133697,38224,19570688,318994741,253783672,42.25,7.36,380264839,134.3
62,185762,2797636,10319,145510,0,0,333480313,233693906,42.5,7.07,351526687,134.4
63,155818,3670854,18927,187809,0,0,430240869,308135835,42.69,7.22,458288607,134.3
64,176446,2994546,14707,164309,0,0,359385851,253250846,42.86,7.18,391242896,134.5
65,453162,3321043,11040,149149,0,0,365316395,344199791,43.05,7.19,458293241,134.5
66,196111,2907819,13025,171917,1616,827392,347139169,251733328,42.56,7.13,369959490,134.6
67,159817,3911238,13199,222290,24136,12357632,442515653,326598647,42.46,7.15,483689799,134.6
68,178221,3489483,16011,179779,0,0,432291497,311623764,42.75,6.95,443620148,134.7
69,209104,2799654,9704,150930,0,0,382391324,269605795,42.65,6.93,382464142,134.6
70,326161,5609022,27212,330266,0,0,706841838,557042397,42.27,6.61,757251598,134.5
71,275652,3083771,3240,130737,216,110592,315939479,242335914,42.93,6.82,391718489,134.5
72,198779,2376987,8798,132217,0,0,300397972,208518652,41.94,6.9,314505608,134.5
73,110895,3188001,3048,155245,0,0,357990220,284380930,41.41,5.81,405380245,134.2
74,151869,2612977,6716,131482,0,0,308473277,248870248,41.85,6.3,363205542,133.8
75,299556,3365050,17353,175342,0,0,408127779,376266350,41.98,6.73,493354006,133.8
76,264355,3663420,1556,156792,272,139264,414999921,320495809,41.4,5.99,459154864,133.6
77,72615,2753127,10805,139020,0,0,295519786,232263227,41.8,6.36,343995505,133.3
78,133135,2501874,9749,123604,0,0,323362908,245065456,41.97,6.71,351682206,133.2
79,123387,3406609,4534,165749,0,0,348449248,270448667,41.4,5.86,439202659,133.1
80,132838,3036572,20727,146260,0,0,353786247,300565666,41.98,6.46,373341086,132.8
81,265957,4173280,5012,216955,216,110592,489025783,356207569,41.93,6.72,530522191,133.0
82,151681,3653695,3234,178436,0,0,458544117,335681514,40.6,5.87,469717094,132.8
83,52354,2596121,5966,117539,0,0,270208224,222243214,40.58,5.89,327687236,132.5
84,65479,3507249,15793,166551,0,0,357849601,267891762,42.15,7.0,439090014,132.2
85,351594,3527142,21307,195780,0,0,490921506,370565798,42.53,7.17,499376836,132.5
86,259463,3035895,4193,166784,272,139264,405339382,294962618,42.52,6.71,432616563,132.8
87,136837,2293646,14347,124821,0,0,299364938,206009652,42.76,7.17,326662864,133.0
88,119168,3196100,14305,170554,0,0,366753721,293122535,42.75,7.06,416991553,133.1
89,209632,3624645,11002,200780,0,0,440359459,314574804,42.92,6.81,477790780,133.3
90,585078,3733179,12544,188944,0,0,465245253,420082696,42.52,6.78,535909403,133.4
91,308360,3298003,3900,134810,216,110592,397748461,294771258,42.83,7.21,429598063,133.6
92,215433,2447600,8018,113019,36720,18800640,297084330,236430105,42.86,6.62,333668329,133.7
93,233032,3726770,6645,198125,0,0,461208254,327712651,42.84,7.17,484188978,133.7
94,273942,2992029,6972,151507,0,0,355669684,253048755,42.83,6.74,395097738,133.9
95,271224,3047216,16738,177982,0,0,391486976,327919566,42.54,7.08,419918192,133.9
96,248970,4042452,9550,223539,496,253952,487808244,349394632,42.87,6.52,560064812,134.1
97,243307,2861452,6732,151503,1512,774144,353902807,255705086,42.87,7.89,382720912,134.2
98,169374,2593233,8004,135713,0,0,311677301,223305918,42.62,6.93,335510203,134.4
99,237533,3824217,19438,213045,0,0,475517958,340069186,42.55,7.59,517095629,134.5
100,414553,3419546,11617,124647,0,0,323240993,262067917,42.93,7.62,453522456,134.7
101,293181,3022461,3602,125473,328,167936,362364635,257266820,42.56,6.95,375352290,134.8
102,212194,3064102,7391,152185,0,0,350277949,256961985,42.51,7.72,393524906,134.8
103,225248,3134776,9280,159245,0,0,366080622,258911012,43.3,7.54,406608856,135.1
104,297057,2560206,5456,148419,0,0,305707381,228149597,42.7,7.07,343907391,135.1
105,385222,3641628,8849,180425,0,0,475148945,367166803,42.53,7.89,505106705,135.2
106,251879,2953350,8423,141043,328,167936,360303055,255937196,42.88,7.14,374528739,135.3
107,156690,3179962,12247,150678,0,0,375733383,283759493,42.31,7.26,412217190,135.3
108,202672,2461422,11821,121583,0,0,294009047,208324985,42.73,7.28,320006613,135.3
109,207265,3513808,9595,173186,0,0,360203144,304106877,42.23,7.68,448143509,135.2
110,442753,3802631,24165,210607,0,0,498207771,384621880,42.51,8.08,504568796,135.4
111,318735,2615803,5320,123966,216,110592,332229323,251383855,42.42,7.58,383338312,135.5
112,162822,3499709,9489,208385,0,0,450677011,314857822,42.18,7.3,448959638,135.4
