,Unnamed: 0,LLC-load-misses,LLC-loads,LLC-store-misses,LLC-stores,blocks,bytes,cycles,instructions,ref-cycles,pkg_pwr,ram_pwr,power
0,0,28202259,157097278,22223148,53870354,0,0,19377171553,16470530460,19546430955,177.44,17.94,273.1
1,1,29177254,152131480,22976929,55541790,224,114688,20070663695,16782814285,19780685217,176.96,17.9,263.1
2,2,29815222,158778217,24601375,60145354,12944,6627328,24266634174,20494848534,23977509096,178.83,18.4,263.0
3,3,30497956,158060462,25224015,59155295,7952,4071424,23313497081,19796309668,23344580218,179.03,18.34,262.9
4,4,30228767,161217370,25574640,63277857,0,0,23678565252,20662947839,23744516333,179.03,18.37,263.2
5,5,32280455,175565247,26765049,67845675,336,172032,24716199994,21971610291,24838589495,179.93,18.51,263.5
6,6,39669778,218774442,33777403,83562565,17184,8798208,30586736863,26709123931,30568817873,180.02,18.5,263.7
7,7,32371549,177308285,26612638,65612867,1504,770048,25341525224,22703319947,25684041531,179.95,18.56,264.1
8,8,31113477,167928433,25444044,63571994,0,0,23834056212,20978205190,23627362596,179.43,18.4,264.4
9,9,29394334,159170410,23539109,60727920,167136,85573632,22925545807,19979364137,22634793082,178.94,18.14,264.7
10,10,29562430,158831250,23367608,60520321,0,0,23294653963,20197730965,23131283604,178.82,18.12,264.8
11,11,29069525,151279894,24028789,58243710,0,0,21959282722,18483060122,21795281295,178.12,18.11,264.9
12,12,27902154,153150362,22576983,54413918,1280,655360,19863796749,16513912782,19772806054,177.06,17.85,264.9
13,13,34431882,189758048,28027034,68063170,0,0,24744957000,20498222969,24544826006,176.81,17.88,264.7
14,14,23941144,159327890,11419799,28811917,0,0,18593207576,12943679204,18857987002,172.73,16.65,264.4
15,15,23266002,160880626,9753681,29816955,560,286720,19992956000,13156938587,19818850320,175.55,16.36,264.1
16,16,23336785,165313469,10107403,30022754,0,0,19261182725,12439929444,19128481897,176.02,16.49,255.7
17,17,23456091,156864664,10993838,34605869,1560,798720,20873730234,15843051735,21969652054,177.11,16.67,256.1
18,18,22621867,155829469,11788975,35339100,16288,8339456,21939640419,15798199940,22177815240,177.03,16.58,256.5
19,19,27654187,207375701,13393034,41992414,0,0,27208282181,19675621443,26102423280,177.0,16.64,257.1
20,20,23281171,159733272,11084090,34515347,0,0,21746118533,16019379081,21619146842,177.08,16.6,257.5
21,21,21504444,159095005,10764379,34581906,0,0,21873521238,16406209088,22149825551,177.22,16.68,258.0
22,22,23599692,153520944,11704990,35941357,944,483328,21593514445,15313129555,21220004026,176.62,16.61,258.3
23,23,22395947,152322170,11242365,34966643,0,0,21886714913,16715955269,22539693347,176.88,16.6,258.7
24,24,24010705,163646012,12732440,33950701,174344,89264128,21871019652,15868868464,21947096121,176.95,16.73,258.9
25,25,24156116,158622703,12002874,34419042,336,172032,21869462893,15646002694,21562432391,177.2,16.7,259.2
26,26,30387113,209790890,14283458,39432090,0,0,26444558996,18108811672,26079916297,176.67,16.59,259.4
27,27,24926709,169930847,10840417,29273837,1448,741376,19462289410,12225910836,19755116054,175.27,16.43,259.6
28,28,24838408,168368058,10969799,29738742,0,0,19796806108,12563306026,19630803973,175.44,16.42,259.7
29,29,24507143,166970559,10764039,29574471,0,0,20054893911,12512841830,19885758013,175.26,16.39,259.6
30,30,24365046,168990442,10916191,29547174,0,0,19590849366,12218254010,19644265857,175.23,16.41,259.5
31,31,24615459,167098221,10969732,29457920,0,0,20597281127,13365169447,20056662402,175.67,16.4,259.4
32,32,29381059,184136595,14996082,39220512,448,229376,20974400005,15314944596,22640086468,172.48,16.43,259.3
33,33,22959821,115620214,16252406,41035533,48,24576,17724002989,18621354399,17645564466,177.02,16.92,259.3
34,34,23233551,114947247,16339717,40890950,35512,18182144,17454627051,18518297318,17590343594,177.0,16.87,258.8
35,35,22405017,112756774,16065826,40377359,336,172032,17619047270,18043600463,17383645688,176.43,16.89,259.1
36,36,22564535,114777313,15839092,40985692,0,0,18393828514,18720285739,18219710628,177.13,16.94,259.4
37,37,22913228,114137160,16085598,41342741,16416,8404992,18271610574,18761199968,18216757234,176.89,16.94,259.6
38,38,23095965,116061247,16276431,41366017,3072,1572864,17180464839,17901116067,17650460657,176.85,17.06,259.8
39,39,29968493,145403724,21222041,52542934,0,0,22592045850,23593897340,22464796465,177.0,17.23,260.0
40,40,24055986,116180407,17201636,41233165,0,0,17380967756,17951793057,16881165631,176.9,17.17,260.2
41,41,24329202,116757368,17153386,41742922,0,0,17511435452,18396369018,17518489858,177.21,17.16,260.4
42,42,24562707,117414159,17133812,41771737,0,0,17378925438,18412447271,17361024694,177.0,17.22,260.6
43,43,24260481,115972212,16736843,41450090,440,225280,17298827157,18283081977,17064935397,176.98,17.1,260.7
44,44,23953356,116668456,16657347,41644543,0,0,18023325115,18999239566,17930028830,177.14,17.12,260.8
45,45,29770646,145468486,20515530,52131144,36608,18743296,21904706638,23061054076,21624501037,176.97,17.06,261.0
46,46,24100926,117147765,16618063,41963772,0,0,17491052437,18601687468,17413440635,177.29,17.15,261.1
47,47,23847291,117413132,16900819,42021729,0,0,17583547642,18587950862,17402456744,177.02,17.15,261.1
48,48,24581372,118138138,16698484,41641759,1168,598016,17413323373,18425494970,17279265097,177.05,17.02,261.2
49,49,23902378,117901661,16640097,41802658,15744,8060928,18331707611,19164473857,18463662623,177.28,17.06,261.3
50,50,23570000,117947913,16799327,41861811,19336,9900032,17824451415,18350700311,17784832966,176.97,17.12,261.3
51,51,23399271,116464081,16500261,41632034,0,0,19344377612,19779173843,19021112162,177.89,17.1,261.4
52,52,23469932,117045677,16712878,41750725,0,0,18465407193,18854239789,18363510361,176.6,17.19,261.5
53,53,29508872,151999906,21677708,54408187,664,339968,22164106207,23733744423,21885588676,177.99,17.23,261.6
54,54,24633179,120090501,18350655,43258323,17032,8720384,18469577745,19784717419,18340682075,178.13,17.23,261.6
55,55,23917250,120756710,18115285,43779263,19440,9953280,17489320846,18772546169,17559265343,177.86,17.17,261.7
56,56,18477474,94782339,13268399,33695188,0,0,15064780632,16916280144,14816023361,149.95,16.01,261.9
57,57,6998988,63587904,3529758,11196104,0,0,7538030456,9755840831,7808347928,134.98,15.82,262.0
58,58,21687831,261336172,18937346,52463508,1224,626688,24791756064,30162325961,24866449296,183.78,17.95,245.0
59,59,21464130,262652597,19054093,53075025,0,0,25390847321,30106446810,25271407338,183.86,17.86,193.4
60,60,21776778,254806378,17440964,51206380,17696,9060352,24649825154,29614461396,24484374855,183.66,17.9,270.3
61,61,22061143,254947980,19449384,52351501,0,0,24763221763,29317155496,24725032539,183.61,17.85,270.3
62,62,21908842,257919296,17582627,54438774,2560,1310720,25818626485,30220363393,25435340687,184.04,17.89,270.3
63,63,21687648,254813698,19357988,51603417,0,0,24795570973,29508141579,24796115932,183.65,17.85,270.4
64,64,26889040,311082942,22680277,64321364,0,0,31350531707,36094070563,30762972433,183.43,17.62,270.5
65,65,21517984,249112436,18543449,50686447,20776,10637312,24426759604,29271162208,24255201580,183.4,17.8,270.5
66,66,22560535,257868163,18287588,53828983,0,0,24444633705,29223047481,24566551455,183.63,17.82,270.4
67,67,21184742,249808013,17809138,50262784,1232,630784,24691790856,29504846245,24993948171,183.32,17.83,270.4
68,68,21582039,251963025,17975345,52445815,13672,7000064,24660049040,28737611567,24148068611,183.28,17.92,270.4
69,69,21578874,248603994,19583707,52379482,0,0,25096626719,29364065253,24667177690,183.82,17.81,270.4
70,70,27018452,313380777,23089712,64930676,17808,9117696,31582597501,37688267690,31810459169,183.95,17.89,270.3
71,71,21979014,255602906,18961631,51493466,0,0,24434952316,29140227756,24366849781,183.77,17.85,270.4
72,72,21871093,254558732,18748336,51296400,0,0,24830807190,29504815336,24993399907,183.71,17.8,270.6
73,73,21817628,254220391,18385492,51240289,2176,1114112,25334946591,29967036151,25696927811,184.03,17.79,270.8
74,74,21476702,251550480,18152744,52298719,0,0,25358538698,30214324211,24985296577,184.05,17.8,270.9
75,75,22745051,257483767,18048276,52249915,19936,10207232,25836938570,30552819342,25919294245,183.16,17.8,271.0
76,76,22995551,258987526,18691013,52256755,0,0,25197040508,29112061709,24412387486,184.58,17.97,271.2
77,77,22271336,256817361,18343995,50755347,0,0,25013774878,29287922408,25150861234,183.95,17.81,271.3
78,78,28107278,318518775,22602133,64281353,1000,512000,30690209250,36679523736,30403481428,183.71,17.8,271.4
79,79,21778787,249668445,18879688,51412623,0,0,25732687207,30348038342,25866265259,183.81,17.9,271.4
80,80,22590677,264168947,17949812,51772230,35536,18194432,24945126693,29733860018,25001627685,183.71,17.89,271.4
81,81,22528953,267631260,19771604,52306923,0,0,25023736553,29145475724,24916871450,183.79,17.95,271.5
82,82,21639979,257296307,18434268,51446648,0,0,25118812396,28551202465,24490429866,181.8,17.77,271.5
83,83,20809876,246533202,18453888,48551968,608,311296,23413128104,26918782106,23722588284,181.93,17.69,271.6
84,84,20204519,244801302,18287689,49140659,0,0,24229597231,27710026756,24172415097,181.67,17.65,271.4
85,85,21114423,247044005,17042084,47943506,18464,9453568,24030222969,27148405624,23197431248,181.68,17.5,271.1
86,86,21516615,253104494,18176027,49416377,19208,9834496,25126254934,29117060300,24783201056,183.78,17.87,270.9
87,87,28303027,336244237,23889537,66650991,0,0,31379752816,36105186063,30841192943,183.87,17.88,270.7
88,88,22275154,266228795,18667186,52887975,1224,626688,24958371445,29110092622,25050223086,183.62,17.84,270.7
89,89,23337111,268101262,19051105,53104230,0,0,25237211442,29226556182,25297199830,183.77,17.91,270.9
90,90,22224526,252370045,15974413,48331317,0,0,24256990476,26826558701,23862407028,181.26,17.64,271.1
91,91,19729673,239366551,17846343,48325162,19160,9809920,24267174268,28326652527,25317828537,183.03,17.79,271.1
92,92,22128543,263209309,18455417,53008751,0,0,25338610710,29033091887,24963486703,183.67,17.91,270.9
93,93,21716282,262772620,18566514,52603474,552,282624,25279935753,28929139219,24818931893,183.84,17.81,270.8
94,94,27978935,331097987,23499414,65688448,0,0,32804131335,37421761523,32941648759,183.94,17.8,270.9
